ClientCompany,Division,Region,ServiceType,ServiceCost,CustomerName,CustomerContact,CustomerAddress,DateInterviewed,InvoiceDate,WorkOrderCloseDate,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,AverageScore,NPS_Label,WasQueueLong,WasStaffPolite,UsedMobileBanking,IssueResolved,WaitTimeCategory
Preston-Ferguson,Headquarters,Florida,Branch Services,3361.4,Samuel Vargas DVM,(616)442-4532x701,"24400 Michael Radial Suite 138, West Rachelborough, MO 62212",2024-12-08,2024-12-08,2024-12-18,10,7,10,2,9,8,7.666666666666667,Passive,False,True,False,True,long
Harris and Sons,Regional Branch,Texas,Investment Services,2700.99,Holly Clark,001-942-514-6408,"40728 Miller Crossroad Suite 752, Whiteside, NY 09372",2024-05-31,2024-05-31,2024-06-01,8,4,7,8,10,6,7.166666666666667,Passive,True,True,False,True,short
Holden-Daniels,Online Division,Ohio,Investment Services,2191.51,Joseph Stanley,001-542-933-1653x41306,"7225 Carlos Throughway Suite 252, West Gina, NV 54271",2024-05-06,2024-05-06,2024-07-05,6,9,8,6,9,8,7.666666666666667,Passive,True,False,True,True,short
Page LLC,Headquarters,California,Loan Services,3968.64,Angela Stevens,(668)374-2875,"0552 Joel Overpass, Nataliebury, NC 91059",2024-09-25,2024-09-25,2024-11-26,6,7,7,5,8,8,6.833333333333333,Detractor,True,True,False,True,short
Thomas PLC,Online Division,Georgia,Branch Services,3005.11,Paul Roberts,(606)888-1365x77568,"733 Sanford Extension, Chungchester, MT 83663",2024-09-21,2024-09-21,2024-12-06,7,5,7,7,6,7,6.5,Detractor,False,False,True,True,short
Berger-Hoover,Online Division,Illinois,Investment Services,3404.05,Derek Powell,362-978-0571,"476 Benjamin Square Suite 099, Michaelhaven, GU 49724",2024-11-02,2024-11-02,2024-12-04,10,8,8,7,4,7,7.333333333333333,Passive,True,True,True,True,long
Thompson Ltd,Online Division,Illinois,Branch Services,3060.23,Jonathan Hicks,(504)800-1883x821,"69174 Stephanie Squares, Jacksonfurt, VT 77858",2024-02-19,2024-02-19,2024-03-14,10,7,8,7,5,10,7.833333333333333,Passive,True,True,True,True,short
Huffman LLC,Online Division,Florida,Loan Services,3751.93,Sarah Henderson,+1-643-987-9921,"949 Wilson Land Apt. 355, Allenborough, IN 65739",2024-10-02,2024-10-02,2024-10-28,9,6,10,5,9,10,8.166666666666666,Passive,False,True,True,True,short
Fritz PLC,Headquarters,Pennsylvania,Investment Services,2009.46,Beverly Alexander,001-861-864-1982x6583,"284 Price Knoll Apt. 551, Ronaldchester, CT 99094",2024-03-29,2024-03-29,2024-06-08,6,8,6,4,8,5,6.166666666666667,Detractor,True,True,True,True,short
Hernandez-Russell,Headquarters,Texas,Loan Services,3473.59,Wendy Wang,781.635.3987,"42816 Katelyn Port Suite 725, Sarahton, AZ 96979",2024-10-21,2024-10-21,2024-12-26,6,10,6,7,9,5,7.166666666666667,Passive,False,False,True,True,long
Oliver-Herring,Regional Branch,Florida,Branch Services,3227.46,Craig Marsh,+1-491-864-3645x51062,"88874 Olsen Way Suite 444, East Miguel, VA 99568",2024-06-01,2024-06-01,2024-06-07,10,4,8,8,9,5,7.333333333333333,Passive,True,True,False,False,medium
Brown LLC,Regional Branch,Georgia,Account Opening,1679.54,Seth Salazar,001-594-803-2096x552,"1819 Rodriguez Islands, Lake Carlside, FM 01769",2024-03-25,2024-03-25,2024-10-13,9,8,8,8,6,8,7.833333333333333,Passive,True,True,False,True,medium
Franco Ltd,Online Division,Florida,Account Opening,3293.07,Paula Henry,938.657.3882x7971,"16507 Maldonado Lane, Port Megan, AK 16939",2024-06-06,2024-06-06,2024-06-27,6,10,8,5,9,6,7.333333333333333,Passive,True,True,True,True,long
Caldwell and Sons,Regional Branch,California,Branch Services,3787.08,Elizabeth Lewis,(893)250-6799x4112,"87613 Michael Path, Martinborough, NY 60216",2024-12-02,2024-12-02,2024-12-25,10,6,9,8,9,10,8.666666666666666,Passive,True,True,False,True,short
Dawson Inc,Online Division,Georgia,Loan Services,2754.61,Susan Williams,(491)701-7808x5748,"31476 Molina Drive, Lake Kevinborough, KY 68221",2024-12-17,2024-12-17,2024-12-29,6,6,6,7,8,8,6.833333333333333,Detractor,False,False,True,True,medium
"Morris, Taylor and Brown",Regional Branch,Ohio,Online Banking,3827.18,Michaela Pena,7193351806,"8481 Tate Glens Apt. 968, Hernandezview, MO 01331",2024-06-29,2024-06-29,2024-12-12,8,10,7,10,9,6,8.333333333333334,Passive,False,False,True,True,long
Hudson and Sons,Headquarters,New York,Online Banking,1929.11,Sharon Levine,823.840.9649x8300,"8988 Kayla Stream, Gibsonstad, AZ 41170",2024-04-15,2024-04-15,2024-11-10,8,7,9,8,7,6,7.5,Passive,False,False,True,True,short
Jones Ltd,Regional Branch,Texas,Online Banking,1485.15,Elizabeth Clarke,835-536-9446x8572,"84137 Phillips River, Lake Matthewborough, OH 46923",2024-04-20,2024-04-20,2024-06-03,7,9,8,5,8,8,7.5,Passive,True,True,True,True,short
Tapia Group,Online Division,California,Account Opening,2116.14,Joel Ramirez,4677240090,"266 Green Ferry, Juanstad, CT 53213",2024-02-23,2024-02-23,2024-03-16,8,8,5,8,9,10,8.0,Passive,True,False,True,True,short
Cox-Rice,Headquarters,Ohio,Account Opening,4053.8,Mason Roberts,609-209-2879,"013 Jennifer Terrace, Youngland, ND 28628",2024-07-07,2024-07-07,2024-11-30,5,6,9,9,9,10,8.0,Passive,True,True,False,True,medium
"Ware, Kennedy and Bush",Regional Branch,Illinois,Online Banking,3570.89,Kimberly Norman,3534193773,"549 Marsh Squares Apt. 395, Keithshire, PA 66143",2024-09-20,2024-09-20,2024-09-20,10,9,9,7,9,6,8.333333333333334,Passive,False,True,False,True,short
"Hall, Williams and Hanson",Online Division,New York,Investment Services,2763.18,Lisa Moore,(683)766-8589,"78524 Riley Pass Apt. 727, Clarkebury, SC 23928",2024-08-27,2024-08-27,2024-11-18,7,8,10,4,9,4,7.0,Passive,True,True,False,True,long
Fletcher-Evans,Headquarters,New York,Branch Services,2528.07,Riley Johnson,7883506469,"787 Lewis Inlet, Willistown, OK 01405",2024-11-16,2024-11-16,2024-12-01,10,8,5,6,9,6,7.333333333333333,Passive,True,False,True,True,medium
Henderson and Sons,Headquarters,Ohio,Account Opening,3216.46,Joseph Lamb,001-350-800-7255x21108,"0498 Mariah Plaza, Russochester, MT 23278",2024-01-06,2024-01-06,2024-03-24,8,6,10,9,3,8,7.333333333333333,Passive,True,True,True,True,short
Nelson and Sons,Online Division,Pennsylvania,Investment Services,2338.21,Carlos Johnson,001-838-801-2146,"65256 Jasmine Way, Reynoldsbury, GA 37069",2024-12-22,2024-12-22,2024-12-25,9,6,7,9,9,5,7.5,Passive,True,True,False,True,short
Woods-Freeman,Online Division,Illinois,Online Banking,2665.5,Michael Williamson,977.924.1063x599,"Unit 1572 Box 9985, DPO AE 78598",2024-11-19,2024-11-19,2024-12-19,7,6,10,8,5,9,7.5,Passive,False,False,True,True,medium
Jackson LLC,Online Division,California,Account Opening,5122.16,Steve Lambert,001-211-367-0623,"230 Gomez Harbor Suite 199, Whitneyville, GU 87456",2024-02-10,2024-02-10,2024-10-04,10,4,7,10,6,8,7.5,Passive,True,True,True,False,long
"Brock, Chase and Alvarado",Headquarters,Pennsylvania,Investment Services,3774.63,Lawrence Parrish,(875)930-7491x448,"02963 Ross Points, New Jennifer, WV 50905",2024-05-06,2024-05-06,2024-12-23,6,7,1,5,7,5,5.166666666666667,Detractor,True,True,False,True,long
Bond-Henderson,Online Division,New York,Branch Services,4632.41,Sophia Swanson,913-938-4491x62163,"3820 Robin Branch, West Meghanborough, DC 59039",2024-10-01,2024-10-01,2024-10-22,5,7,8,10,5,10,7.5,Passive,False,False,True,False,short
"Jordan, Martin and Colon",Headquarters,California,Branch Services,3010.23,Ronald Johnson,(892)850-4431,"9939 Perez Parkways Apt. 231, Lake Rebecca, SC 41484",2024-08-31,2024-08-31,2024-09-30,6,8,8,6,8,7,7.166666666666667,Passive,True,True,True,True,short
"Thompson, Rollins and Brown",Online Division,Illinois,Branch Services,3113.52,Jessica Thompson,001-329-344-6128,"48738 Ortiz Ramp Apt. 829, West Kaitlynstad, FM 39672",2024-08-26,2024-08-26,2024-11-17,9,10,5,10,4,7,7.5,Passive,False,True,True,True,short
Brown PLC,Regional Branch,New York,Account Opening,3588.32,Wesley Wilson,(867)442-3794x0913,"775 Mueller Street Suite 281, Longbury, VI 21001",2024-06-27,2024-06-27,2024-06-28,8,6,7,7,6,9,7.166666666666667,Passive,False,True,False,True,short
Diaz-Nelson,Online Division,Ohio,Branch Services,3357.02,Michael Ross,+1-282-304-7593x253,"6922 Michael Row, Port Brittany, NV 33964",2024-07-04,2024-07-04,2024-11-01,6,9,8,9,9,6,7.833333333333333,Passive,True,True,True,True,long
Owens LLC,Online Division,Texas,Online Banking,2439.82,Joseph Gray,405-622-8845,"565 David River, Lake Benjamin, WV 73487",2024-02-28,2024-02-28,2024-09-23,9,9,7,8,10,6,8.166666666666666,Passive,True,True,False,True,medium
Horn-Evans,Headquarters,Pennsylvania,Loan Services,3547.1,Rachel Taylor,409.657.1527x5478,"60853 Amanda Union, Phillipsshire, SC 33842",2024-03-25,2024-03-25,2024-05-10,7,7,10,9,9,10,8.666666666666666,Passive,True,True,False,True,long
"Kennedy, Moore and Reyes",Regional Branch,Texas,Loan Services,3021.0,Kylie Velez,534.973.1021,"7079 Melissa Port Suite 091, Scottmouth, HI 98913",2024-12-27,2024-12-27,2024-12-30,9,7,8,7,8,9,8.0,Passive,True,False,True,True,short
Sheppard-Garza,Online Division,Pennsylvania,Online Banking,2181.78,Cynthia Morris,+1-490-389-5422x11961,"4484 Elizabeth Freeway, Lake Mark, DE 69527",2024-04-13,2024-04-13,2024-07-30,10,5,5,10,9,9,8.0,Passive,True,True,True,True,short
"Barnes, Sanchez and Trujillo",Regional Branch,Florida,Loan Services,3628.35,Wendy Hughes,872-661-8214x7419,"165 Collins Ramp, Smithland, NV 10214",2024-02-16,2024-02-16,2024-04-14,7,6,8,6,9,7,7.166666666666667,Passive,False,True,True,True,medium
Farrell PLC,Regional Branch,Pennsylvania,Investment Services,2174.5,Elizabeth Martin,+1-385-699-0394,"013 Baird Ferry Suite 813, Port Crystal, TX 46867",2024-11-04,2024-11-04,2024-11-18,7,8,6,6,8,8,7.166666666666667,Passive,True,False,False,True,medium
Thompson-Johnson,Online Division,Pennsylvania,Account Opening,2493.06,Adam Andrews,567.202.6127x4822,"50359 Parker Mall, South Jeffrey, UT 30589",2024-12-01,2024-12-01,2024-12-26,7,8,5,5,6,7,6.333333333333333,Detractor,True,False,False,True,long
Bennett Group,Regional Branch,New York,Account Opening,3310.91,Thomas Thompson,(387)912-4862,"59365 Martin Pass, Deannafort, KY 88766",2024-01-11,2024-01-11,2024-08-16,10,9,7,7,5,7,7.5,Passive,False,True,False,True,long
Ruiz Group,Headquarters,Ohio,Branch Services,2711.34,Nancy Hernandez,2004567308,"624 Blankenship Ways Suite 298, Lake Jared, MP 32021",2024-08-16,2024-08-16,2024-12-14,8,6,9,10,7,8,8.0,Passive,True,True,False,True,long
White LLC,Online Division,Florida,Investment Services,3690.14,Mr. Timothy Fischer MD,(230)870-3949x41709,"351 Natalie Brook, East Kimside, NY 04445",2024-11-30,2024-11-30,2024-12-11,7,8,8,8,6,8,7.5,Passive,False,True,False,True,medium
Martinez PLC,Headquarters,Illinois,Branch Services,3498.0,Peter Bowen,690-310-0250,"59860 Megan Common, Port Lisa, ID 94872",2024-05-19,2024-05-19,2024-06-27,10,9,10,6,9,8,8.666666666666666,Passive,False,True,False,True,short
"Duke, Caldwell and Ayala",Headquarters,Florida,Online Banking,5189.8,George Andrade,651.855.9756x48505,"6503 Matthew Branch Apt. 581, Powellmouth, OK 66481",2024-10-01,2024-10-01,2024-10-10,6,6,6,3,6,6,5.5,Detractor,False,True,True,True,short
Davis-Cooper,Online Division,New York,Investment Services,3150.39,Julia Harrison,409-766-5773,"7103 Manning Corners, East James, SD 05950",2024-10-13,2024-10-13,2024-11-09,8,10,9,6,6,8,7.833333333333333,Passive,False,True,False,True,short
Andersen PLC,Headquarters,Georgia,Loan Services,1679.77,Becky Owen,+1-582-359-1761x03493,"PSC 7202, Box 4340, APO AP 92361",2024-03-06,2024-03-06,2024-08-25,10,10,7,4,10,7,8.0,Passive,True,True,False,True,long
Parker-Moreno,Headquarters,Illinois,Loan Services,4237.82,David Garcia,936-796-9652,"63345 Stephen Parkway Suite 504, North Heather, WA 13389",2024-08-14,2024-08-14,2024-10-18,4,6,8,8,7,9,7.0,Passive,True,True,True,True,short
Cook-Jackson,Headquarters,Georgia,Online Banking,1932.38,Dylan Lee,001-339-487-4506x5885,"7473 Cortez Spur, East Shannonview, TX 37001",2024-04-14,2024-04-14,2024-05-06,7,8,9,9,5,4,7.0,Passive,True,True,False,True,short
Johnson-Adams,Online Division,New York,Account Opening,4277.68,Jennifer Foley,(280)729-0940x8088,"37095 Kenneth Burg Apt. 852, North Jenniferbury, CO 45964",2024-04-02,2024-04-02,2024-11-26,8,6,10,8,10,8,8.333333333333334,Passive,False,True,False,True,short
"Weber, Patrick and Johnson",Headquarters,Georgia,Loan Services,5060.75,Matthew Hicks,(659)483-6652,"8198 Kidd Place, New Danny, RI 53508",2024-10-29,2024-10-29,2024-11-14,10,7,9,9,10,6,8.5,Passive,False,True,False,False,long
Lowe Group,Online Division,Ohio,Branch Services,3686.05,Lindsey Baker,550.888.7136,"1640 Amanda Knoll, West Michael, KY 61331",2024-10-06,2024-10-06,2024-12-27,10,4,5,3,7,9,6.333333333333333,Detractor,False,False,False,True,medium
Johnson and Sons,Online Division,Illinois,Branch Services,4502.36,Lindsay Martin,+1-261-338-7896x560,"911 Melissa Route Apt. 244, Snowmouth, MI 26549",2024-01-04,2024-01-04,2024-08-25,8,10,5,4,7,8,7.0,Passive,False,True,False,True,medium
Richmond-Huang,Headquarters,Illinois,Investment Services,2967.31,Anthony Fuller,(215)335-8041x0580,"76378 Jennifer Tunnel, Martinezburgh, IN 15273",2024-03-07,2024-03-07,2024-04-29,3,7,5,9,8,6,6.333333333333333,Detractor,False,False,True,True,short
"Nash, Potter and Benton",Online Division,Texas,Loan Services,2486.13,Jeremy Watkins,807-507-3442x049,"71835 Koch Views Apt. 009, Paulburgh, SD 02650",2024-05-09,2024-05-09,2024-07-12,5,7,9,6,9,6,7.0,Passive,True,True,False,True,short
Ingram Group,Headquarters,Ohio,Online Banking,2207.13,Miss Cheryl Johnson DVM,001-855-514-7957x91175,"63600 Porter Bridge Suite 677, West Margarethaven, KY 24936",2024-08-05,2024-08-05,2024-11-23,7,5,6,5,10,8,6.833333333333333,Detractor,True,False,False,True,long
Wu-Hernandez,Regional Branch,Ohio,Online Banking,2300.27,Mary Cordova,+1-605-978-0644x085,"3150 Shannon Roads Apt. 375, West Zacharyhaven, MH 48790",2024-08-23,2024-08-23,2024-12-03,8,7,7,9,9,6,7.666666666666667,Passive,True,True,False,True,short
Chandler Group,Regional Branch,Ohio,Loan Services,2424.18,John Aguilar,9528360796,"80253 Lowe Flat Apt. 191, Calhounfurt, MS 26880",2024-08-02,2024-08-02,2024-12-23,7,3,4,10,10,7,6.833333333333333,Detractor,False,False,True,False,medium
Miller-Avila,Online Division,New York,Account Opening,3576.56,Robert Levine,(317)434-7938x85626,"708 Jimmy Ramp Apt. 879, North Patrick, ND 69122",2024-08-23,2024-08-23,2024-10-19,8,10,10,7,6,4,7.5,Passive,False,True,False,True,short
Espinoza-Avila,Regional Branch,Florida,Online Banking,3203.46,Shawn Cross,838.797.2976x671,"994 Kim Skyway Suite 695, Lake Lauratown, DE 42859",2024-03-04,2024-03-04,2024-10-11,6,5,6,5,10,9,6.833333333333333,Detractor,False,True,False,True,long
Ramos-Solis,Regional Branch,Illinois,Account Opening,2992.03,Kevin Mccullough,845-974-6667x3352,"1749 Robinson Island, Rogerhaven, MH 86463",2024-12-17,2024-12-17,2024-12-21,10,8,6,10,9,5,8.0,Passive,False,True,True,False,short
Fuller Inc,Online Division,California,Account Opening,2809.66,Adrian Torres,845-983-8924,"2730 Thompson Track, North Barbarabury, WA 74024",2024-01-18,2024-01-18,2024-04-15,6,5,9,10,5,9,7.333333333333333,Passive,True,False,True,True,medium
"Espinoza, White and Conner",Headquarters,Texas,Online Banking,2349.36,Jessica Armstrong,6533475039,"USNV Madden, FPO AP 13706",2024-10-14,2024-10-14,2024-11-01,7,6,6,8,6,8,6.833333333333333,Detractor,True,True,True,True,short
Petty-Johnson,Regional Branch,Texas,Branch Services,2949.76,Jacob Allen,401-271-8247x27793,"578 Christensen Hills Suite 672, South Lisa, AK 76233",2024-08-15,2024-08-15,2024-10-11,7,6,6,9,9,6,7.166666666666667,Passive,True,True,True,False,short
"Keith, Smith and White",Headquarters,Illinois,Branch Services,3099.33,Martin Harvey,(416)283-4845,"7194 Walsh Radial, North Kristinastad, UT 82931",2024-02-13,2024-02-13,2024-11-27,9,4,9,6,9,6,7.166666666666667,Passive,False,True,True,True,medium
"Gardner, Woods and Thompson",Online Division,Florida,Account Opening,1195.12,Jose Smith,618-684-3040,"2767 Prince Groves, North Colin, TX 96166",2024-07-01,2024-07-01,2024-10-23,4,8,8,6,9,4,6.5,Detractor,False,False,True,True,medium
"Murphy, Murray and Garrett",Headquarters,Pennsylvania,Branch Services,2933.92,Shannon Mayer,209.286.9919x2316,"9829 Rodriguez Greens, Kylebury, PR 06940",2024-11-26,2024-11-26,2024-12-28,5,6,8,6,7,10,7.0,Passive,False,True,True,True,short
"Reyes, Allen and Mcdonald",Regional Branch,Georgia,Account Opening,2423.11,Christopher Reilly,6342413499,"3264 Martin Mountains Apt. 709, New Jacquelinefort, ID 69609",2024-03-14,2024-03-14,2024-07-02,9,5,9,10,3,6,7.0,Passive,False,False,False,True,short
"Martinez, Mosley and Greene",Online Division,Illinois,Branch Services,3577.07,John Schultz,915-420-2325,"3593 Brent Fork Suite 435, Ashleyfort, DE 32529",2024-03-22,2024-03-22,2024-09-03,7,8,6,8,7,10,7.666666666666667,Passive,False,True,False,True,short
Roberts Inc,Headquarters,Illinois,Online Banking,3254.42,Emily Brown,(958)543-1350x838,"870 Jill Junction Suite 332, Scottberg, GA 09238",2024-05-06,2024-05-06,2024-10-08,8,7,7,7,8,7,7.333333333333333,Passive,True,True,False,True,short
Clark Ltd,Regional Branch,Texas,Online Banking,3289.77,Dr. Ashley Evans,485-961-0594,"87103 Karen Forge, Birdstad, WV 99651",2024-02-17,2024-02-17,2024-04-25,10,9,7,10,7,3,7.666666666666667,Passive,True,True,False,True,long
"Wilson, Ramos and Patterson",Online Division,Illinois,Branch Services,1991.91,Sandra Fisher,701-955-0480x4391,"7209 Medina Brooks, East Lindsey, WI 44400",2024-02-06,2024-02-06,2024-03-15,4,7,8,10,8,7,7.333333333333333,Passive,True,True,True,True,medium
Schwartz Group,Regional Branch,Florida,Online Banking,3829.41,William House,(689)232-7670x724,"943 Hale Locks Apt. 318, Murphyland, WI 99545",2024-03-07,2024-03-07,2024-03-09,3,8,9,5,10,8,7.166666666666667,Passive,False,True,True,True,short
"Guerra, Johnson and Poole",Online Division,Florida,Investment Services,2584.71,Gregory Davis,+1-487-652-2788x170,"4171 Weiss Avenue, Ryanside, FL 29799",2024-12-14,2024-12-14,2024-12-14,9,10,8,8,7,6,8.0,Passive,False,True,False,True,medium
"Reese, Shah and Gilbert",Regional Branch,Pennsylvania,Online Banking,3830.34,Loretta Stevens,326-825-5369,"062 Mary Summit Apt. 173, New Erinmouth, AZ 20841",2024-07-07,2024-07-07,2024-12-09,6,8,7,8,8,10,7.833333333333333,Passive,False,True,True,True,short
Levine LLC,Headquarters,Texas,Loan Services,2489.98,Theresa Huff,+1-498-598-4630x3953,"1565 Timothy Centers, South Amy, WY 45779",2024-07-15,2024-07-15,2024-08-27,7,6,7,8,9,6,7.166666666666667,Passive,True,True,False,True,long
"Christian, Martinez and Mccoy",Online Division,Illinois,Account Opening,3869.61,Sandra Herrera,338.706.2798x000,"1236 Bridges Shoal, Christopherland, KY 86116",2024-03-21,2024-03-21,2024-03-21,10,8,10,6,5,4,7.166666666666667,Passive,True,True,False,True,short
Moore-Powers,Online Division,Texas,Investment Services,4496.04,Amber Johnson,001-982-210-4643x5274,"7235 David Walk, Johnberg, HI 69685",2024-09-14,2024-09-14,2024-12-26,9,7,8,5,10,8,7.833333333333333,Passive,True,False,False,True,short
Whitney-Grant,Regional Branch,California,Account Opening,3109.39,Jeffery Davis,001-565-851-4822x76930,"614 Moore Junction Apt. 545, Maryhaven, GA 48461",2024-06-22,2024-06-22,2024-10-29,9,8,8,6,8,10,8.166666666666666,Passive,False,True,False,True,long
Davis-Garcia,Regional Branch,Georgia,Account Opening,4345.42,Angela Edwards,6079240794,"07778 Reese Club Apt. 679, Alexanderview, VA 79214",2024-09-01,2024-09-01,2024-09-18,10,6,6,7,8,10,7.833333333333333,Passive,True,True,True,True,medium
"Miller, Wallace and Arnold",Headquarters,Texas,Branch Services,1307.54,Phillip Johnson,001-869-321-2139x3383,"780 Ryan Parkways Apt. 485, New Steven, VT 67553",2024-06-02,2024-06-02,2024-06-11,10,7,7,5,4,9,7.0,Passive,False,True,True,True,medium
Gonzalez LLC,Online Division,Florida,Branch Services,3073.32,Timothy Perez,001-812-617-7002,"26202 Garcia Mountain Suite 659, Lake Laurabury, CT 06381",2024-02-28,2024-02-28,2024-06-20,5,5,7,10,7,4,6.333333333333333,Detractor,False,True,False,True,medium
Garner-Rodriguez,Regional Branch,Illinois,Branch Services,2754.26,Zachary Dixon,477.333.7614,"USNV White, FPO AE 88313",2024-06-11,2024-06-11,2024-09-21,7,2,7,7,9,10,7.0,Passive,True,True,True,False,short
Edwards-Gray,Headquarters,Illinois,Account Opening,4126.57,Katherine Walker,001-913-481-5040x5927,"40220 Tamara Square, Vasqueztown, NH 05650",2024-03-15,2024-03-15,2024-08-01,7,5,10,8,8,7,7.5,Passive,True,True,True,True,short
Sanchez-Mann,Online Division,Georgia,Investment Services,3198.08,Hannah Castillo,(923)784-5180,"29201 Thomas Estates Apt. 874, Wilsonmouth, PR 43688",2024-04-26,2024-04-26,2024-10-18,7,6,6,7,6,6,6.333333333333333,Detractor,True,True,False,True,short
Hernandez-Rubio,Online Division,Florida,Investment Services,3106.43,Bryan Montgomery,383.961.9652x66075,"018 Bobby Manors Suite 873, New Kenneth, NH 15173",2024-12-17,2024-12-17,2024-12-23,7,10,2,10,10,3,7.0,Passive,True,True,True,True,long
Smith Ltd,Headquarters,California,Account Opening,2657.31,Lisa Jackson,(596)875-3266,"7588 John Walks Suite 529, Port Lisaberg, NJ 51045",2024-04-20,2024-04-20,2024-08-07,7,5,6,5,10,9,7.0,Passive,True,True,False,True,short
Harris LLC,Regional Branch,Ohio,Investment Services,4271.56,James Wallace,960.845.6533x9683,"25684 Wilson Springs Suite 428, Thompsonport, DC 71446",2024-04-20,2024-04-20,2024-11-03,9,5,6,8,5,9,7.0,Passive,False,True,True,True,medium
"Morgan, Whitehead and Scott",Online Division,Illinois,Account Opening,2759.67,Mark Padilla,+1-369-720-4821x76445,"PSC 8794, Box 4467, APO AP 35143",2024-07-03,2024-07-03,2024-10-04,7,9,8,7,10,5,7.666666666666667,Passive,True,True,True,False,medium
Robinson Inc,Regional Branch,New York,Loan Services,3615.94,Ashley Bernard,313-575-3485x52404,"041 Adams Drives Apt. 918, Mitchellland, ME 35727",2024-12-11,2024-12-11,2024-12-17,9,7,8,5,9,7,7.5,Passive,False,True,False,False,short
Francis LLC,Online Division,Ohio,Online Banking,2477.28,Kristen Vega,001-334-938-5416x0837,"3855 Betty Unions Suite 374, Mistyburgh, AL 60914",2024-01-19,2024-01-19,2024-09-03,10,6,5,4,9,5,6.5,Detractor,True,True,False,True,medium
Brown Inc,Headquarters,Pennsylvania,Online Banking,4754.79,Dalton Brooks,001-755-540-1293x876,"1397 Miller Square, Michaelfurt, IN 31161",2024-06-04,2024-06-04,2024-06-07,3,10,8,7,6,8,7.0,Passive,False,True,False,True,medium
"Frederick, Maynard and Smith",Regional Branch,California,Investment Services,2962.37,Lisa Haynes,362.945.9630x143,"0214 Mcclure Pike Apt. 557, Lake David, TX 73918",2024-10-18,2024-10-18,2024-12-22,10,8,8,7,7,8,8.0,Passive,False,True,False,True,long
"George, Padilla and Walker",Headquarters,Georgia,Online Banking,1289.83,Michael Coleman,920-250-5215,"673 Timothy Radial, West Nicholasfurt, FL 26495",2024-04-25,2024-04-25,2024-05-04,5,9,8,7,8,8,7.5,Passive,True,True,False,True,short
